Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,10,0,4,0,65529,7209,4320,182,25479
1,3989,1078,472,0,161487270,16941846,10163524,4446472,63699627
2,8767,2030,1217,0,409460341,41438562,24859667,10491095,154106284
3,15817,7026,3754,0,703318249,74813363,44881743,34052932,493430117
4,23082,9477,4002,0,1229861505,140552280,84322195,48628992,676390858
5,29758,11608,4195,0,1820223656,214194951,128505116,64579238,878125498
6,36438,13954,4386,0,2439441256,291385872,174816987,82313105,1102472897
7,43040,16309,4581,0,3054563950,368036840,220804946,100334627,1329074915
8,49712,18522,4757,0,3671470535,444972841,266963860,117062949,1540172023
9,56456,20989,4950,0,4297479575,522930803,313735984,135565473,1773002492
10,62968,25675,5397,0,4896887062,597605491,358538205,167425329,2172227658
11,69343,28491,5627,0,5502694965,673066548,403812276,192414771,2489245300
12,75881,32919,6001,0,6138402884,752149134,451259269,219644471,2831361169
13,82131,36533,6306,0,6743357336,827316217,496357055,259313028,3337682884
14,88430,39219,6495,0,7369916986,904858800,542880088,278695915,3585937434
15,94669,42162,6682,0,7981964436,980624464,588336982,301983469,3886218407
16,100862,46098,6995,0,8589400187,1055761249,633416607,325152605,4180484586
17,107290,50985,7310,0,9220164869,1133875038,680282303,364760007,4684152593
18,113530,55066,7604,0,9845602999,1211228134,726691704,403617636,5178702963
19,119962,61101,8111,0,10466164173,1287985581,772743625,442813233,5678054079
20,126292,65896,8476,0,11078662482,1363554959,818082717,481947509,6176831223
21,132554,68932,8710,0,11706290752,1441275244,864712430,520257944,6672709972
22,138910,73407,9081,0,12339372396,1519488853,911638061,559061496,7174683594
23,145292,78266,9422,0,12962295439,1596647181,957930496,597982462,7675893695
24,151541,83001,9851,0,13568000623,1671715254,1002968811,637248929,8176846842
25,157731,89497,10303,0,14172108399,1746552873,1047868872,675676842,8666921313
26,163906,92707,10524,0,14788874297,1822881071,1093663337,714009352,9161615073
27,170196,98823,10940,0,15405464608,1899323868,1139526462,752505603,9654112254
28,176496,103408,11279,0,16023933301,1975814350,1185418213,790342800,10141419880
29,182663,106894,11523,0,16638867843,2051837603,1231029712,828929669,10644677104
30,188858,111190,11883,0,17256885241,2128334746,1276925562,867696735,11145050792
31,195142,115352,12170,0,17887778561,2206517091,1323832449,906133990,11643746225
32,201380,121752,12642,0,18512675598,2283953575,1370291832,944607421,12138259937
33,207505,126913,13008,0,19136150520,2361191177,1416631947,983501348,12634867407
34,213637,129564,13216,0,19763841866,2438751267,1463165570,1022615005,13141981142
35,219846,136003,13675,0,20382737430,2515243491,1509058431,1060415121,13626006564
36,225833,139368,13895,0,20998588619,2591529678,1554827763,1098462932,14124845752
37,231999,143968,14207,0,21627063751,2669379880,1601535372,1137002931,14626290120
38,238045,149539,14601,0,22246708717,2746036862,1647527115,1175311197,15115615345
39,244043,154711,14949,0,22857697406,2821814064,1692991048,1213839446,15612088764
40,250172,157564,15143,0,23497742083,2900968072,1740481015,1253121441,16119085936
41,256337,164130,15643,0,24105662207,2976251676,1785648776,1291397026,16609062796
42,262303,167420,15878,0,24750851705,3056006714,1833499405,1331113630,17121765796
43,268294,171956,16206,0,25358523504,3131263318,1878651019,1369615469,17618600818
44,274345,177345,16568,0,25978943891,3208103841,1924752904,1407829794,18108773650
45,280293,181199,16846,0,26590548659,3283955342,1970261415,1445172522,18589324299
46,286330,185416,17188,0,27206115479,3360117785,2015956507,1484480796,19095121894
47,292211,190890,17538,0,27830396914,3437501803,2062384559,1523472537,19595183139
48,298102,195066,17910,0,28445374755,3513488028,2107973919,1562379171,20101470125
49,303992,200249,18307,0,29065494115,3590210220,2154004850,1599681219,20585884997
50,310080,203718,18557,0,29686952945,3667166454,2200176148,1638916228,21097491722
51,316078,209857,18991,0,30288226622,3741529184,2244791408,1676868754,21582309707
52,322014,212934,19208,0,30905626345,3817856760,2290585528,1715639868,22084501728
53,327957,217943,19568,0,31531328743,3895182543,2336978600,1754345020,22581952273
54,334028,223770,19922,0,32152870959,3972034952,2383087634,1793283024,23081477940
55,340025,226270,20120,0,32771828851,4048699746,2429084110,1831026364,23582421941
56,345965,231736,20531,0,33380712222,4124097336,2474320276,1869473499,24076435408
57,351846,236433,20853,0,33997455693,4200360509,2520075825,1908664883,24581256057
58,357917,240543,21158,0,34610014528,4276179252,2565564673,1947133030,25076767821
59,363765,244863,21487,0,35209640815,4350378533,2610081898,1985745436,25573335494
60,369732,250939,21941,0,35826525351,4426680655,2655860769,2024501295,26070097081
61,375639,253602,22123,0,36436152604,4501940060,2701014079,2064097026,26581812291
62,381756,259691,22542,0,37067887258,4580002201,2747848906,2101978076,27066379029
63,387711,262578,22716,0,37684134680,4656194624,2793562003,2140954149,27570697942
64,393597,267973,23150,0,38288931681,4731121930,2838516043,2179519210,28064751558
65,399509,273150,23562,0,38928306020,4809926554,2885796437,2218103533,28561925514
66,405437,275984,23784,0,39547442178,4886527356,2931754567,2254747428,29063953459
67,411332,280094,24030,0,40148354345,4960897219,2976374141,2293523540,29564746781
68,417202,285907,24455,0,40791577955,5040401453,3024074315,2331831292,30053305884
69,423027,290497,24801,0,41396644764,5115256408,3068984921,2370219724,30556401160
70,429006,293818,25015,0,42009309546,5191073727,3114472949,2408946294,31057291109
71,434828,297997,25341,0,42632386381,5268133948,3160706755,2446392294,31541341917
72,440623,302596,25671,0,43240796184,5343362101,3205841314,2486757158,32060114069
73,446419,307064,26012,0,43848964065,5418512891,3250929476,2524866645,32552206160
74,452398,311699,26363,0,44472982982,5495657420,3297213792,2563232932,33046357176
75,458185,316777,26703,0,45074369797,5570106424,3341880871,2602356147,33550616934
76,464063,320709,26975,0,45669914459,5643944528,3386181388,2640552170,34042091465
77,469814,325127,27306,0,46284182953,5719897506,3431750859,2679405009,34541556456
78,475627,331060,27732,0,46885383182,5794046247,3476237827,2717414608,35029025649
79,481314,335736,28058,0,47491980925,5868888422,3521140840,2756519608,35532742544
80,487201,338600,28265,0,48109977228,5945262936,3566963159,2794761376,36036559247
81,492962,344131,28674,0,48720017341,6020664563,3612201803,2833047512,36525715222
82,498747,348873,29001,0,49320075660,6094946437,3656768635,2871998013,37028876426
83,504557,352126,29225,0,49925777942,6169746822,3701646522,2910722482,37532396352
84,510343,357245,29645,0,50522200489,6243412780,3745843768,2948943008,38022913421
85,516102,361345,29904,0,51127244635,6318158713,3790689068,2987678945,38526802015
86,521880,365770,30238,0,51734711631,6393239525,3835735280,3025895369,39019936259
87,527659,370140,30570,0,52346873672,6468753456,3881041319,3064212179,39515204486
88,533261,374612,30905,0,52939351202,6541973307,3924971014,3101998655,40003160573
89,539055,378970,31254,0,53555549395,6618157176,3970679001,3140520050,40509473749
90,544813,384704,31695,0,54160064608,6692732976,4015422168,3178369794,40995128609
91,550455,389244,32050,0,54753172158,6766040000,4059404106,3217006232,41494607436
92,556155,392120,32255,0,55363339485,6841347948,4104586574,3254998379,41994732699
93,560352,397715,32640,0,55902669295,6907830065,4144474182,3292759165,42480438119
94,561516,400150,32824,0,56329817222,6958169624,4174677442,3329013394,42968051509
95,561517,404152,33121,0,56329841998,6958172391,4174679102,3364421458,43473147707
96,564945,409277,34344,0,56498573125,6975540434,4185098542,3398836993,43947074964
97,569440,413505,35210,0,56784646936,7003169713,4201674297,3435698694,44456807698
98,575263,417877,36135,0,57087033682,7036535591,4221691511,3471728764,44933828198
99,582733,422921,36756,0,57739144718,7117213558,4270095326,3509237937,45425385464
100,588813,428363,37621,0,58251316076,7180607993,4308129576,3546406130,45913672504
101,594911,432015,37910,0,58876443236,7258014114,4354570822,3584545276,46405375653
102,600925,436804,38334,0,59498123927,7334800817,4400640449,3621991178,46886266523
103,606949,441232,38734,0,60118941532,7411568445,4446698630,3660300112,47379519867
104,613037,445624,39090,0,60751837864,7489814296,4493643676,3697919697,47868799852
105,619012,448678,39397,0,61367866269,7565856994,4539266902,3736411976,48369998359
106,624941,454844,39986,0,61998614156,7643887435,4586082784,3773381286,48846183487
107,630763,459176,40364,0,62616945492,7720154456,4631840655,3811146109,49334988267
108,636638,461803,40597,0,63242638210,7797468583,4678226779,3849852084,49843552284
109,642554,467295,41079,0,63862124574,7873681265,4723952053,3886863678,50322821672
110,648305,471533,41437,0,64488907311,7950979811,4770328854,3924557968,50816294727
111,654115,474758,41678,0,65123717463,8029122582,4817212178,3962181962,51307597616
112,659846,479908,42114,0,65735890329,8104547082,4862464605,3999962750,51798121139
113,665713,483616,42413,0,66351279742,8180424236,4907988585,4037244579,52287941455
114,671506,487957,42766,0,66978182406,8257609273,4954297319,4074641976,52775072135
115,677257,493137,43198,0,67599104910,8334181048,5000238119,4112848397,53271914642
116,683194,496871,43489,0,68251556480,8414498939,5048426501,4150172044,53756778658
117,688974,500446,43778,0,68866550907,8490399121,5093964285,4187774038,54250973349
118,694836,504893,44132,0,69483537043,8566478912,5139609793,4223725481,54719965819
119,700637,509184,44449,0,70109359507,8643556036,5185853746,4262665934,55225907341
120,706488,513432,44831,0,70735691328,8720877568,5232244347,4300372342,55718159729
121,712233,518093,45219,0,71360998546,8797942702,5278481141,4338007204,56205449486
122,718176,523539,45649,0,71991254310,8875600765,5325073569,4375764517,56695299996
123,723947,527885,45999,0,72606500004,8951466577,5370590755,4413490502,57184254770
124,729738,530727,46189,0,73234886119,9028816248,5416998218,4450640820,57679389716
125,735539,536264,46576,0,73848856622,9104488277,5462399095,4487596645,58157710919
126,741383,539638,46798,0,74471018036,9181099816,5508363681,4525755559,58659188768
127,747150,544495,47168,0,75084947251,9256700570,5553721832,4562768741,59138080697
128,752797,548317,47427,0,75710925993,9333798355,5599978284,4600719179,59632675917
129,758760,552574,47789,0,76348229384,9412185979,5647008481,4638394757,60123262610
130,764623,557464,48203,0,76968927814,9488560310,5692830726,4675238006,60610473230
131,770262,561682,48538,0,77586994455,9564627775,5738468920,4713325064,61103393903
132,775945,565450,48845,0,78203921749,9640447363,5783958400,4751171922,61594303214
133,781647,570585,49246,0,78836808290,9718285660,5830659112,4788002406,62076046265
134,787504,573833,49490,0,79455191551,9794363606,5876303583,4826457608,62581208709
135,793182,578902,49870,0,80079787865,9871203036,5922404970,4863424169,63061245740
136,798961,582718,50165,0,80698012551,9947514140,5968189343,4900329434,63541859942
137,804706,586616,50471,0,81315521250,10023598171,6013837454,4938228758,64033765143
138,810448,591006,50841,0,81933409967,10099657250,6059470583,4975981449,64523613032
139,816160,594863,51092,0,82561142616,10176694249,6105690539,5011884464,65009818474
140,821776,599163,51437,0,83166080822,10251104463,6150334421,5050901214,65515356031
141,827642,603935,51780,0,83807201294,10329916045,6197618993,5088040438,65999576917
142,833225,608545,52512,0,84400163673,10402838983,6241370497,5124612939,66486958892
143,838866,612474,55317,0,85026276787,10479891881,6287599988,5156745357,66955856087
144,844403,616111,55644,0,85634585698,10554662468,6332460108,5193967806,67445390576
145,849942,621559,56087,0,86253713223,10630756908,6378114548,5231649908,67937299660
146,855747,626261,56498,0,86869312998,10706672282,6423661448,5269258915,68425804128
147,861394,629430,56832,0,87478085292,10781589491,6468609474,5306538493,68918016890
148,867132,633931,57206,0,88110950958,10859432907,6515313292,5343360886,69402480646
149,872744,638317,57671,0,88707880040,10932850958,6559361872,5381139814,69891892814
150,878501,643751,58125,0,89332690724,11009577230,6605395307,5418684683,70376146785
151,884045,647508,58415,0,89941050931,11084475029,6650331770,5456035541,70866592586
152,889729,651489,58737,0,90572420855,11161985825,6696835989,5493436010,71352337447
153,895162,655923,59066,0,91164410932,11234796900,6740520450,5531488312,71847286817
154,900628,661152,59476,0,91789754369,11311689443,6786653774,5568707073,72330604296
155,906218,663668,59675,0,92414864146,11388431411,6832696671,5605884995,72823759987
156,911725,669377,60097,0,93019169772,11462705683,6877259025,5642890032,73306440647
157,917220,673719,60443,0,93629538572,11537651867,6922224532,5680468971,73796272229
158,922898,677800,60760,0,94239995298,11612581210,6967179864,5717971091,74288351477
159,928398,680461,60937,0,94867743152,11689494098,7013325386,5754292379,74780826193
160,933983,685319,61280,0,95482110831,11765156295,7058720494,5790584540,75262644858
161,939573,688852,61537,0,96087555158,11839623954,7103398850,5828103345,75757144646
162,945085,694281,61990,0,96715083422,11916781892,7149691410,5864131175,76226073196
163,950682,697608,62244,0,97336327732,11992983044,7195409839,5902301427,76732044995
164,956194,701171,62533,0,97951101918,12068508858,7240723101,5938084183,77220288245
165,961699,705423,62905,0,98562532709,12143626035,7285791185,5975448834,77712642424
166,967276,709747,63236,0,99167097612,12217945544,7330380667,6012526880,78195241275
167,972903,715101,63672,0,99795130315,12295139929,7376695066,6049676913,78679342335
168,978457,717775,63881,0,100407317491,12370315087,7421797942,6087433212,79175611520
169,984048,722358,64208,0,101039886200,12447976859,7468392771,6123668855,79660301255
170,989474,725268,64443,0,101649689385,12522852968,7513316280,6159442355,80147530540
171,995074,730398,64865,0,102294591982,12601911354,7560749076,6196660269,80636997577
172,1000652,734294,65187,0,102903752364,12676791735,7605675099,6233064615,81128277725
173,1006112,738022,65440,0,103508789283,12751188692,7650311101,6269981185,81610563850
174,1011640,743768,65832,0,104112567835,12825337951,7694798460,6306661041,82087622495
175,1017263,746871,66051,0,104745934431,12903031006,7741412036,6345178807,82591051615
176,1022685,750727,66312,0,105345295453,12976469669,7785473079,6381697649,83072014383
177,1028141,755094,66636,0,105962345137,13052266681,7830949082,6419354318,83566985129
178,1033610,759661,66943,0,106569307015,13126859060,7875702301,6456584794,84049781431
179,1039092,764106,67258,0,107179270402,13201704726,7920607515,6494338633,84542158862
180,1044609,768863,67555,0,107788714248,13276579903,7965530407,6530899629,85022069267
