FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],% Integrated Area,From [bp],To [bp],Peak Comment,Observations
2025-03-13 - 11.52.58.gDNA,L1,Ladder,100,8.50,8.50,,69,149,,Lower Marker
2025-03-13 - 11.52.58.gDNA,L1,Ladder,250,6.67,,7.88,181,312,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,400,6.98,,8.25,337,484,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,600,7.24,,8.56,527,725,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,900,7.57,,8.95,791,1077,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,1200,7.37,,8.71,1077,1372,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,1500,7.54,,8.91,1372,1780,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,2000,7.04,,8.32,1822,2293,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,2500,6.62,,7.82,2293,2793,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,3000,6.48,,7.66,2793,3517,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,4000,6.18,,7.30,3625,5407,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,7000,6.07,,7.17,5564,10781,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,15000,5.27,,6.23,10781,23114,,
2025-03-13 - 11.52.58.gDNA,L1,Ladder,48500,3.58,,4.23,23114,73067,,
2025-03-13 - 11.52.58.gDNA,B1,1,100,8.50,8.50,,66,148,,Lower Marker
2025-03-13 - 11.52.58.gDNA,B1,1,1571,3.89,,10.97,1420,1686,,
2025-03-13 - 11.52.58.gDNA,B1,1,12277,31.2,,88.07,4790,57023,,
2025-03-13 - 11.52.58.gDNA,B1,1,,,,,,,,Sample Well
2025-03-13 - 11.52.58.gDNA,C1,2,100,8.50,8.50,,67,146,,Lower Marker
2025-03-13 - 11.52.58.gDNA,C1,2,1247,5.67,,14.82,1201,1624,,
2025-03-13 - 11.52.58.gDNA,C1,2,9655,32.6,,85.05,3971,29898,,
2025-03-13 - 11.52.58.gDNA,C1,2,,,,,,,,Sample Well
2025-03-13 - 11.52.58.gDNA,D1,3,100,8.50,8.50,,66,148,,Lower Marker
2025-03-13 - 11.52.58.gDNA,D1,3,780,4.22,,46.95,294,931,,
2025-03-13 - 11.52.58.gDNA,D1,3,16010,4.77,,53.05,5299,>60000,,
2025-03-13 - 11.52.58.gDNA,E1,4,100,8.50,8.50,,66,148,,Lower Marker
2025-03-13 - 11.52.58.gDNA,E1,4,1363,1.79,,25.81,1234,1579,,
2025-03-13 - 11.52.58.gDNA,E1,4,9428,5.08,,73.24,4356,45390,,
2025-03-13 - 11.52.58.gDNA,E1,4,,,,,,,,Sample Well
2025-03-13 - 11.52.58.gDNA,F1,6,100,8.50,8.50,,66,146,,Lower Marker
2025-03-13 - 11.52.58.gDNA,F1,6,9723,5.70,,97.04,4748,34195,,
2025-03-13 - 11.52.58.gDNA,F1,6,,,,,,,,Sample Well
2025-03-13 - 11.52.58.gDNA,L2,Ladder,100,8.50,8.50,,69,148,,Lower Marker
2025-03-13 - 11.52.58.gDNA,L2,Ladder,250,6.40,,7.82,183,310,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,400,6.44,,7.87,340,474,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,600,6.64,,8.12,524,716,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,900,6.73,,8.22,789,1053,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,1200,6.91,,8.44,1053,1353,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,1500,7.06,,8.63,1353,1739,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,2000,6.71,,8.19,1808,2267,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,2500,6.35,,7.76,2299,2757,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,3000,6.79,,8.30,2757,3529,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,4000,6.43,,7.86,3555,5330,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,7000,6.54,,8.00,5564,11343,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,15000,5.16,,6.30,11343,22526,,
2025-03-13 - 11.52.58.gDNA,L2,Ladder,48500,3.67,,4.49,22526,71194,,
2025-03-13 - 11.52.58.gDNA,G1,8,100,8.50,8.50,,67,156,,Lower Marker
2025-03-13 - 11.52.58.gDNA,G1,8,1350,2.24,,19.43,1144,1498,,
2025-03-13 - 11.52.58.gDNA,G1,8,12582,9.27,,80.57,4325,55610,,
2025-03-13 - 11.52.58.gDNA,H1,9,100,8.50,8.50,,64,152,,Lower Marker
2025-03-13 - 11.52.58.gDNA,H1,9,,,,,,,,Sample Well
2025-03-13 - 11.52.58.gDNA,A2,10,100,8.50,8.50,,65,147,,Lower Marker
2025-03-13 - 11.52.58.gDNA,A2,10,28066,6.58,,99.53,6566,>60000,,
2025-03-13 - 11.52.58.gDNA,A2,10,,,,,,,,Sample Well
2025-03-13 - 11.52.58.gDNA,B2,11,100,8.50,8.50,,66,147,,Lower Marker
2025-03-13 - 11.52.58.gDNA,B2,11,10713,1.21,,82.95,6432,26242,,
2025-03-13 - 11.52.58.gDNA,B2,11,,,,,,,,Sample Well
